.NET Framework 4.7.2
File read & write test with 28,61 MB done in 02:22:41:948!




|Write (0,017 MB on average))|None|%|SequentialScan|%|WriteThrough|%|SequentialScan, WriteThrough|%|-1610612736|%|-1476395008|%|
|Buffer 65536 Chunk 131072 (229 times)|00:0115923|-83.29|00:0102437|-85.23|00:0091817|-86.76|00:0089870|-87.04|00:5000321|621|00:5559597|701.64|
|Buffer 65536 Chunk 262144 (115 times)|00:0103637|-85.06|00:0106375|-84.66|00:0089192|-87.14|00:0089715|-87.06|00:4000956|476.9|00:3666946|428.74|
|Buffer 131072 Chunk 1024 (29297 times)|00:0121063|-82.54|00:0127318|-81.64|00:0117347|-83.08|00:0122188|-82.38|00:5111487|637.03|00:5089363|633.84|
|Buffer 131072 Chunk 2048 (14649 times)|00:0149190|-78.49|00:0129197|-81.37|00:0119499|-82.77|00:0099988|-85.58|00:5537468|698.45|00:5296752|663.74|
|Buffer 131072 Chunk 4096 (7325 times)|00:0126571|-81.75|00:0210308|-69.68|00:0100660|-85.49|00:0100026|-85.58|00:5185829|647.75|00:5278215|661.07|
|Buffer 131072 Chunk 8192 (3663 times)|00:0132316|-80.92|00:0106039|-84.71|00:0103369|-85.1|00:0099825|-85.61|00:5296879|663.76|00:5345311|670.74|
|Buffer 131072 Chunk 16384 (1832 times)|00:0122497|-82.34|00:0109103|-84.27|00:0101556|-85.36|00:0101693|-85.34|00:5558025|701.41|00:5333735|669.07|
|Buffer 131072 Chunk 32768 (916 times)|00:0119282|-82.8|00:0116874|-83.15|00:0109344|-84.23|00:0108636|-84.34|00:5130041|639.7|00:5111885|637.08|
|Buffer 131072 Chunk 65536 (458 times)|00:0117446|-83.07|00:0119189|-82.81|00:0106175|-84.69|00:0111384|-83.94|00:5000450|621.02|00:5000382|621.01|
|Buffer 131072 Chunk 131072 (229 times)|00:0103405|-85.09|00:0106219|-84.68|00:0089171|-87.14|00:0088898|-87.18|00:5445037|685.12|00:4555965|556.93|
|Buffer 131072 Chunk 262144 (115 times)|00:0099988|-85.58|00:0109130|-84.26|00:0089509|-87.09|00:0090150|-87|00:4223121|508.93|00:3889206|460.79|
|Buffer 262144 Chunk 1024 (29297 times)|00:0128566|-81.46|00:0129827|-81.28|00:0110933|-84|00:0113905|-83.58|00:4278049|516.85|00:4555892|556.92|
|Buffer 262144 Chunk 2048 (14649 times)|00:0135985|-80.39|00:0112966|-83.71|00:0102190|-85.27|00:0102505|-85.22|00:4741200|583.63|00:4334053|524.93|
|Buffer 262144 Chunk 4096 (7325 times)|00:0149724|-78.41|00:0113501|-83.63|00:0102378|-85.24|00:0102221|-85.26|00:4519056|551.6|00:4278218|516.88|
|Buffer 262144 Chunk 8192 (3663 times)|00:0109109|-84.27|00:0121094|-82.54|00:0114484|-83.49|00:0101345|-85.39|00:4473890|545.09|00:4555903|556.92|
|Buffer 262144 Chunk 16384 (1832 times)|00:0120591|-82.61|00:0111529|-83.92|00:0111746|-83.89|00:0102992|-85.15|00:4241265|511.55|00:4574497|559.6|
|Buffer 262144 Chunk 32768 (916 times)|00:0130964|-81.12|00:0127886|-81.56|00:0110684|-84.04|00:0112345|-83.8|00:4222548|508.85|00:4111705|492.87|
|Buffer 262144 Chunk 65536 (458 times)|00:0146943|-78.81|00:0119363|-82.79|00:0111466|-83.93|00:0111065|-83.99|00:4518851|551.57|00:4222994|508.91|
